repository,function_count,class_count,loc,size_kb,header_files,source_files,tested_functions_count,tested_functions
haoel/leetcode,1312,442,21495,1409.96484375,1,0,0,
wisdompeak/LeetCode,2562,1812,63464,1910.876953125,2,0,0,
pezy/LeetCode,257,137,5367,155.548828125,137,0,0,
kamyu104/LeetCode-Solutions,5543,4322,114634,4195.75,0,0,0,
Jack-Cherish/LeetCode,32,25,510,17.556640625,0,10,0,
lzl124631x/LeetCode,678,541,10802,401.3486328125,3,0,0,
luliyucoordinate/Leetcode,1144,835,22134,590.9248046875,1,1,0,
gzwl/leetcode,182,174,3872,155.62890625,0,0,0,
liuyubobobo/Play-Leetcode,8872,3589,124668,4849.7783203125,0,0,0,
walkccc/LeetCode,0,0,0,0.0,0,0,0,
illuz/leetcode,0,0,0,0.0,0,0,0,
tanyarajhans/LeetCode,823,640,17403,523.166015625,0,0,0,
zhuli19901106/leetcode-zhuli,2211,1478,58886,1697.2294921875,0,0,0,
MaskRay/LeetCode,985,905,19693,531.2216796875,0,0,0,
leetcoders/LeetCode,301,171,5755,296.2802734375,168,0,0,
codedecks-in/LeetCode-Solutions,114,77,2173,86.642578125,0,0,0,
iphkwan/leetcode,168,158,4528,153.798828125,0,0,0,
gzc426/leetcode,13,17,378,18.73828125,0,1,0,
knockcat/Leetcode,0,0,0,0.0,0,0,0,
liuchuo/LeetCode,342,315,10005,443.3525390625,0,0,0,
kedebug/leetcode,169,154,4262,144.361328125,0,0,0,
yychuyu/LeetCode,0,0,0,0.0,0,0,0,
gzc/leetcode,0,0,0,0.0,0,0,0,
huanminwu/LeetCode,3758,183,163429,13821.6015625,39,0,0,
chaharnishant11/LeetcodeSolutions,479,329,10434,301.849609375,0,0,0,
yubinbai/leetcode,537,221,10820,715.8798828125,0,0,0,
strang3-r/Leetcode75,436,129,8686,290.5263671875,0,12,0,
yanglr/leetcode-ac,1257,622,25633,849.05859375,2,0,0,
Amanhacker/Aman-Barnwal-Leetcode-Solutions,763,599,14347,645.1171875,0,0,0,
keineahnung2345/leetcode-cpp-practices,2478,1793,44904,2629.7470703125,0,0,0,
nermeenwageh10/Leetcode-Solutions,237,183,4475,140.904296875,0,8,0,
HauyuChen/LeetCode,72,72,2068,73.6220703125,0,0,0,
7oSkaaa/LeetCode_DailyChallenge_2023,1502,1122,25532,1579.9658203125,0,1,0,
black-shadows/LeetCode-Topicwise-Solutions,3713,2725,71435,2613.0068359375,0,0,0,
shruti170901/Leetcode,1289,1015,24805,837.962890625,0,0,0,
codereport/LeetCode,106,10,1398,59.4248046875,0,1,0,
int32bit/leetcode,320,96,6069,137.9931640625,0,62,0,
moranzcw/LeetCode-NOTES,384,335,9800,277.142578125,0,0,0,
tanyagupta0201/LeetCode-Problems-Solutions,123,98,2602,120.93359375,0,0,0,
amanv8060/Leetcode-Questions,79,60,1461,36.43359375,0,0,0,
hqztrue/LeetCodeSolutions,968,280,13805,388.1142578125,0,0,0,
Vanshika2063/Leetcode-Questions,131,83,2881,114.82421875,0,1,0,
jp9573/LeetCode-Solutions,130,83,2392,75.7939453125,0,7,0,
